serialNumber,hardOutputVoltage,minOutputVoltage,maxOutputVoltage,constOutputVoltage,maxTemperature,hardCurrent,maxCurrent,scaleAmpsIn,offsetAmpsIn,scaleAmpsOut,offsetAmpsOut,scaleVoltsIn,offsetVoltsIn,scaleVoltsOut,offsetVoltsOut,constVoltageHyst,safetyVoltageHyst,safetyCurrentHyst,safetyTemperatureHyst,thermistorBeta,thermistorRo,thermistorRbias,thermistorTo,canBitrate,canBaseAddress,testMode,POseconds,INCseconds,TRACKseconds,SWVersion,syncCurrentHi,syncCurrentLow,autoSendRate
1,160,0,130,130,110,12,12,16.4017,0.0252372,16.5,0,201.439,0.628759,201.92,0.625785,0.2,2,0.25,5,3760,50000,8060,25,500000,1536,0,2,20,300,1002,3,2,0
2,160,0,125,124,110,12,12,16.5,0,16.5,0,200,0,200,0,0.2,2,0.25,5,4150,50000,8060,25,125000,1536,0,2,20,300,1005,3,2,0
3,160,0,151.2,150.2,110,12,12,15.9724,0.0483394,16.5,0,201.072,0.819163,198.203,0.40941,0.2,2,0.25,5,4150,50000,8060,25,125000,1536,0,2,20,300,1005,3,2,0
11,160,0,126,125,110,12,12,16.3192,0.0328694,16.5,0,203.286,0.826013,200.436,0.390011,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1.50519e+09,3,2,0
12,160,0,126,125,110,12,12,16.2255,0.0497884,16.5,0,201.381,0.759457,199.342,0.464074,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1.50519e+09,3,2,0
13,160,0,126,125,110,12,12,16.4148,0.0642438,16.5,0,202.825,0.547103,199.693,0.286245,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1.50519e+09,3,2,0
14,160,0,126,125,110,12,12,16.197,0,16.5,0,201.944,0.678659,200.776,0.277832,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1.50519e+09,3,2,0
15,160,0,126,125,110,12,12,16.2549,0.0362221,16.5,0,200.861,1.08437,198.407,0.209969,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1.50519e+09,3,2,0
16,160,0,126,125,110,12,12,16.2301,0.0775154,16.5,0,200.002,0.764383,199.576,0.366003,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1.50519e+09,3,2,0
17,160,0,126,125,110,12,12,16.187,0.0271159,16.5,0,201.057,0.63472,199.898,0.501728,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1.50519e+09,3,2,0
21,160,0,124.5,123.5,110,12,12,16.5,0,16.5,0,201,0,201,0,0.2,2,0.25,5,4150,50000,8060,25,125000,1536,0,2,20,300,1004,3,2,2
22,160,0,124.5,123.5,110,12,12,16.5,0,16.5,0,201,0,201,0,0.2,2,0.25,5,4150,50000,8060,25,125000,1536,0,2,20,300,1004,3,2,2
23,160,0,124.5,123.5,110,12,12,16.5,0,16.5,0,201,0,201,0,0.2,2,0.25,5,4150,50000,8060,25,125000,1536,0,2,20,300,1004,3,2,2
24,160,0,124.5,123.5,110,12,12,16.5,0,16.5,0,201,0,201,0,0.2,2,0.25,5,4150,50000,8060,25,125000,1536,0,2,20,300,1004,3,2,2
25,160,0,124.5,123.5,110,12,12,16.5,0,16.5,0,201,0,201,0,0.2,2,0.25,5,4150,50000,8060,25,125000,1536,0,2,20,300,1004,3,2,2
26,160,0,124.5,123.5,110,12,12,16.5,0,16.5,0,201,0,201,0,0.2,2,0.25,5,4150,50000,8060,25,125000,1536,0,2,20,300,1004,3,2,2
27,160,0,105,104,110,12,12,16.419,0.0270338,16.5,0,201.711,0.657613,201.094,0.389683,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1004,3,2,2
28,160,0,105,104,110,12,12,16.4607,0.0358693,16.5,0,202.038,0.614609,201.236,0.38471,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1004,3,2,2
29,160,0,105,104,110,12,12,16.2479,0.0749393,16.5,0,201.434,0.673207,200.762,0.36344,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1004,3,2,2
30,160,0,105,104,110,12,12,16.3913,0.0594212,16.5,0,201.485,0.796903,201.072,0.521434,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1004,3,2,2
31,160,0,105,104,110,12,12,16.3536,0.0353138,16.5,0,201.948,0.856969,201.542,0.30897,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1004,3,2,2
32,160,0,105,104,110,12,12,16.4849,0.0537303,16.5,0,200.946,0.680798,201.64,0.491757,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1004,3,2,2
33,160,0,105,104,110,12,12,16.2939,0.0185694,16.5,0,201.429,0.643547,201.429,0.433757,0.2,2,0.25,5,4150,50000,8060,25,500000,1536,0,2,20,300,1004,3,2,2
34,160,0,151.2,150.2,110,12,12,16.3923,0.0534679,16.5,0,201.223,0.738524,202.721,0.327671,0.2,2,0.25,5,4150,50000,8060,25,125000,1536,0,2,20,300,1005,3,2,0
35,160,0,151.2,150.2,110,12,12,16.4251,0.0135828,16.5,0,201.438,1.00636,201.279,0.32068,0.2,2,0.25,5,3760,50000,8060,25,125000,1536,0,2,20,300,1005,3,2,0
